"","player_name","mp","raptor_offense","raptor_defense","raptor_total","salary","position","guard","forward","center"
"1","Aaron Gordon",1683,-0.658531633635796,1.00912940284961,0.350597769213817,"$18,136,364.00","F",0,1,0
"2","Aaron Holiday",1176,-1.38777647044666,-0.85235552395195,-2.24013199439861,"$2,345,640.00","G",1,0,0
"3","Aaron Nesmith",744,-1.90328532393242,-0.899754636213066,-2.80303996014548,"$3,458,400.00","G/F",1,1,0
"4","Al Horford",782,-0.903886645441267,3.71716331550367,2.8132766700624,"$27,500,000.00","F/C",0,1,1
"5","Alec Burks",1383,1.87367687638445,0.564556407775309,2.43823328415976,"$6,000,000.00","G",1,0,0
"6","Aleksej Pokusevski",1090,-6.32078390453209,-2.84742672843295,-9.16821063296505,"$2,964,840.00","F",0,1,0
"7","Alex Caruso",1337,-1.8505670549708,3.89945079095723,2.04888373598643,"$2,750,000.00","G/F",1,1,0
"8","Alex Len",1021,-2.73103575620083,0.736553129510347,-1.99448262669049,"$3,970,648.00","C",0,0,1
"9","Andre Drummond",1347,-1.85165487748701,2.35223078081553,0.500575903328518,"$28,751,774.00","C",0,0,1
"10","Andre Iguodala",1410,-2.25361448475595,1.06472652245646,-1.18888796229949,"$15,000,000.00","G/F",1,1,0
"11","Andrew Wiggins",2364,-1.07432093697549,0.504489526068351,-0.569831410907135,"$29,542,010.00","F",0,1,0
"12","Anfernee Simons",1211,0.723497430187903,-3.82265067894773,-3.09915324875983,"$2,252,040.00","G",1,0,0
"13","Anthony Davis",1306,0.98673252782836,2.72406372888328,3.71079625671163,"$32,742,000.00","F/C",0,1,1
"14","Anthony Edwards",2314,-0.527943280899395,-2.79255206854313,-3.32049534944252,"$9,757,440.00","G/F",1,1,0
"15","Armoni Brooks",520,-1.08599052518492,-2.84847508949957,-3.93446561468449,"$135,362.00","G",1,0,0
"16","Aron Baynes",980,-5.02078982317801,0.675388710894352,-4.34540111228366,"$7,000,000.00","C",0,0,1
"17","Austin Rivers",1150,-1.84027870897782,-1.2730755561051,-3.11335426508292,"$3,929,049.00","G",1,0,0
"18","Avery Bradley",602,-3.62154409719197,-2.00591397664918,-5.62745807384115,"$5,635,000.00","G",1,0,0
"19","Bam Adebayo",2279,0.11446348917502,1.7745965880085,1.88906007718352,"$5,115,492.00","C",0,0,1
"20","Ben McLemore",941,-1.36752834698117,-2.38696019735303,-3.7544885443342,"$2,893,630.00","G/F",1,1,0
"21","Ben Simmons",2279,0.694046220725133,1.84349298884918,2.53753920957431,"$30,559,200.00","G/F",1,1,0
"22","Bismack Biyombo",1349,-5.59655819261749,0.852722697786617,-4.74383549483087,"$3,500,000.00","C",0,0,1
"23","Blake Griffin",1504,0.383628257007743,1.91790233322854,2.30153059023628,"$33,900,241.00","F/C",0,1,1
"24","Bobby Portis",1738,1.54491878508751,1.17791949580841,2.72283828089592,"$3,623,000.00","F/C",0,1,1
"25","Bogdan Bogdanovic",1903,2.51744826701494,1.45713727646145,3.97458554347639,"$18,000,000.00","G",1,0,0
"26","Bojan Bogdanovic",2606,0.150611210385374,-1.41991184714178,-1.26930063675641,"$17,850,000.00","F",0,1,0
"27","Brad Wanamaker",1053,-2.89265194157119,-0.710310801309108,-3.6029627428803,"$2,250,000.00","G",1,0,0
"28","Bradley Beal",2342,5.24568845838356,-1.90597603205706,3.3397124263265,"$28,751,774.00","G",1,0,0
"29","Brandon Clarke",1424,-1.31248086827978,1.65526417871801,0.342783310438227,"$2,602,920.00","F",0,1,0
"30","Brandon Goodwin",620,-2.65207892562574,-1.74490852364313,-4.39698744926887,"$1,701,593.00","G",1,0,0
"31","Brandon Ingram",2093,3.33326268509727,-2.03405319921398,1.2992094858833,"$27,285,000.00","F",0,1,0
"32","Brook Lopez",2569,-0.847255888646646,2.3131438489592,1.46588796031255,"$12,697,675.00","C",0,0,1
"33","Bruce Brown",1728,0.581524093149552,0.373995816523611,0.955519909673162,"$1,663,861.00","G",1,0,0
"34","Bryn Forbes",1627,0.536353215426047,-4.05613773022737,-3.51978451480133,"$2,337,145.00","G",1,0,0
"35","Buddy Hield",2433,1.91379990583692,-1.49555122510438,0.418248680732535,"$24,931,817.00","G",1,0,0
"36","Caleb Martin",818,-2.6480702449478,1.47596231423096,-1.17210793071684,"$1,517,981.00","G",1,0,0
"37","Cam Reddish",842,-2.29252192795395,0.0580891334488969,-2.23443279450506,"$4,458,000.00","G/F",1,1,0
"38","Cameron Johnson",1880,-0.613042042130739,1.75243064107941,1.13938859894867,"$4,235,160.00","F",0,1,0
"39","Cameron Payne",1497,2.84767611275967,1.30604068424255,4.15371679700222,"$1,977,011.00","G",1,0,0
"40","Caris LeVert",1486,0.385684478879739,-0.507922888008863,-0.122238409129124,"$16,203,704.00","G/F",1,1,0
"41","Carmelo Anthony",1833,0.259202420796828,-2.81291789418713,-2.5537154733903,"$2,564,753.00","F",0,1,0
"42","Cedi Osman",1510,-1.36987447332945,-1.89459036487711,-3.26446483820656,"$8,840,580.00","F",0,1,0
"43","Chasson Randle",837,-4.05627500882583,-3.25181223026575,-7.30808723909158,"$279,927.00","G",1,0,0
"44","Chris Boucher",1453,1.98958364773586,0.0329749104494066,2.02255855818527,"$6,500,000.00","F/C",0,1,1
"45","Chris Paul",2882,4.48202463788765,-1.33818250743958,3.14384213044807,"$41,358,814.00","G",1,0,0
"46","Christian Wood",1326,-0.119311632612519,2.56725066793968,2.44793903532716,"$13,015,874.00","F/C",0,1,1
"47","Chuma Okeke",1133,-1.47725516188472,1.72055323934163,0.243298077456903,"$3,121,080.00","F",0,1,0
"48","CJ McCollum",1840,3.72574095507302,0.0038836659988344,3.72962462107185,"$29,354,152.00","G",1,0,0
"49","Clint Capela",2467,0.811886759033555,5.20606645284248,6.01795321187603,"$18,000,000.00","C",0,0,1
"50","Coby White",2156,-1.41766344151043,-1.11312376054041,-2.53078720205084,"$5,572,680.00","G",1,0,0
"51","Cody Martin",849,-1.97042170381139,1.83969960242538,-0.130722101386009,"$1,517,981.00","G",1,0,0
"52","Cody Zeller",1005,-0.135061385577747,1.17911709311401,1.04405570753626,"$15,415,730.00","C",0,0,1
"53","Cole Anthony",1273,-2.11585779806735,-3.02327883991622,-5.13913663798358,"$3,285,120.00","G",1,0,0
"54","Collin Sexton",2115,0.403231460736977,-2.8851468027105,-2.48191534197353,"$4,991,880.00","G",1,0,0
"55","Cory Joseph",1446,-1.01415277421591,0.372871806554529,-0.641280967661384,"$12,600,000.00","G",1,0,0
"56","D.J. Augustin",1129,0.647980179672052,-2.49907365744151,-1.85109347776946,"$6,666,667.00","G",1,0,0
"57","D'Angelo Russell",1196,1.93990207126066,-3.17959305977009,-1.23969098850943,"$28,649,250.00","G",1,0,0
"58","Damian Jones",547,-3.4580688894584,-1.9529225134266,-5.410991402885,"$1,487,284.00","C",0,0,1
"59","Damian Lillard",2646,8.29766995853728,-2.21405666391964,6.08361329461764,"$31,626,953.00","G",1,0,0
"60","Damion Lee",1079,0.0809102733465468,1.04209653540681,1.12300680875336,"$1,762,796.00","G",1,0,0
"61","Damyean Dotson",907,-3.20876827457826,-2.37066618488618,-5.57943445946443,"$2,000,000.00","G/F",1,1,0
"62","Daniel Gafford",908,1.80889022561014,2.04281824280727,3.85170846841741,"$1,517,981.00","C",0,0,1
"63","Daniel Theis",1601,-1.42092644140775,1.65407875020295,0.233152308795206,"$5,000,000.00","C",0,0,1
"64","Danilo Gallinari",1664,1.20104545275098,-0.917522919335749,0.283522533415229,"$19,500,000.00","F",0,1,0
"65","Danny Green",2133,0.829923247494039,2.10279481562905,2.93271806312309,"$15,365,853.00","G/F",1,1,0
"66","Danuel House Jr.",932,-3.47471222562375,-2.09187139748767,-5.56658362311141,"$3,717,000.00","F",0,1,0
"67","Dario Saric",1018,-0.728040745696477,1.20873980203889,0.480699056342408,"$9,250,000.00","C",0,0,1
"68","Darius Bazley",1714,-4.57745286853942,-0.645378526600538,-5.22283139513996,"$2,399,160.00","F",0,1,0
"69","Darius Garland",1790,0.154309986727435,-1.49123040710331,-1.33692042037587,"$6,720,720.00","G",1,0,0
"70","David Nwaba",679,-0.372735011921541,3.55337676706336,3.18064175514182,"$1,824,003.00","F",0,1,0
"71","Davis Bertans",1570,1.90519380094268,-0.930612573067572,0.974581227875106,"$15,000,000.00","F",0,1,0
"72","De'Aaron Fox",2036,3.17020746035899,-2.66592369519074,0.504283765168247,"$8,099,627.00","G",1,0,0
"73","De'Andre Hunter",830,-0.705454439220074,3.86699797332644,3.16154353410636,"$7,422,000.00","F",0,1,0
"74","De'Anthony Melton",1128,0.18696577304577,2.10230118547022,2.28926695851599,"$9,571,712.00","G/F",1,1,0
"75","Dean Wade",1212,-1.86883423928354,-0.418749576369198,-2.28758381565273,"$1,517,981.00","F",0,1,0
"76","Deandre Ayton",2916,-0.0912519387008854,1.72222554525936,1.63097360655848,"$10,018,200.00","C",0,0,1
"77","DeAndre Jordan",1246,-3.04449279250713,-0.698252695607547,-3.74274548811467,"$10,375,678.00","C",0,0,1
"78","DeAndre' Bembry",972,-2.27235528028864,0.764584654206115,-1.50777062608252,"$1,737,145.00","F",0,1,0
"79","Dejounte Murray",2139,0.73390220710255,0.327852725697345,1.06175493279989,"$14,286,000.00","G",1,0,0
"80","Delon Wright",1748,0.915739760458979,1.70784589446429,2.62358565492327,"$9,000,000.00","G",1,0,0
"81","DeMar DeRozan",2056,3.56390518008884,-2.93468051531915,0.629224664769699,"$27,739,975.00","G/F",1,1,0
"82","DeMarcus Cousins",771,-1.21987810695819,2.79162923067223,1.57175112371403,"$3,051,832.00","C",0,0,1
"83","Deni Avdija",1257,-2.43021859283466,0.628639555754848,-1.80157903707982,"$4,469,160.00","F",0,1,0
"84","Dennis Schroder",2152,-0.260188739674637,0.0382508903038372,-0.221937849370799,"$15,500,000.00","G",1,0,0
"85","Denzel Valentine",1036,-1.61422616115474,-0.160624204742685,-1.77485036589743,"$4,642,800.00","F",0,1,0
"86","Derrick Favors",1184,-0.662440888619086,1.08926479303213,0.426823904413039,"$9,258,000.00","C",0,0,1
"87","Derrick Jones Jr.",1328,-1.77686481512307,1.32379889110189,-0.453065924021182,"$9,258,000.00","F",0,1,0
"88","Derrick Rose",1454,1.80568209141403,1.47857533110316,3.28425742251718,"$7,682,926.00","G",1,0,0
"89","Derrick White",1064,1.40856186291021,3.2116607964171,4.62022265932731,"$3,516,284.00","G",1,0,0
